ALK
AR
BAP1
BRAF
CCND1
CCND3
CCNE1
CDK4
CDK6
CDKN1A
CDKN1B
CDKN2A
CDKN2B
CHEK2
DMD
ERBB2
ERBB3
FGFR1
FGFR2
FGFR3
FOXO1
KDM6A
KRAS
MAML2
MDM2
MET
MYB
MYC
NOTCH1
NOTCH2
NOTCH3
NOTCH4
NRG1
NTRK1
NTRK2
NTRK3
PDGFRA
RET
RICTOR
ROS1
RREB1
SMARCB1
TFE3
TFEB
TP53
